text,Topic,Subtopic
I am not able to do it,Other,Small Talk
I need help reapplying my top-up. It seems it isn't working.,Funds,Top Up Issues
My balance was not updated after transferring money.,Other,Small Talk
I need to dispute a direct debit.,Funds,Funds Wrong Debit
What currencies are supported?,Funds,Funds Exchange Info
What do I need to do to cancel a transaction?,Funds,Funds Transfer Cancel
It is not a credit card,Other,Small Talk
I did not receive my full withdrawal amount,Funds,Withdraw Issues
what are limits to top up,Funds,Top Up Info
What type of ID do you accept?,Account,Identity Verification
I need my card frozen cause it was used without my consent to take money out. It was in an odd place.,Card,Card Block
What are the steps I need to do if I have a stolen card?,Other,Scam
I can't use the app because I got mugged yesterday and they took everything. Please help.,Other,Scam
The top-up is broken.,Funds,Top Up Issues
What is the formula for your exchange rate?,Funds,Funds Exchange Info
"I transferred money from the US, How long does it take?",Funds,Funds Transfer Info
What ATMs can I use my card?,Other,Find ATM
I purchased something abroad and the incorrect exchange rate was applied.,Funds,Funds Exchange Issues
i already have it,Other,Unsupported Talk
My transfer hasn't appeared yet,Other,Unsupported Talk
"The transfer keeps rejected, I tried to transfer some money to friends but it keeps getting rejected for some reason, Would you please check the issue?",Funds,Funds Transfer
I want to activate the card.,Card,Card Activation
What ATMs accept my card?,Other,Find ATM
How do I report possible fraudulent activity on my account?,Other,Scam
"Good morning! I’d like to speak to a representative, please.",Other,Bot to Human
what is the fee for topping up by card?,Funds,Top Up Info
I have a second credit card from the US. Will you take it?,Card,Card Info
It's not a credit card,Card,Card Info
Why has my top-up not worked?,Funds,Top Up Issues
I've made a transfer from France two days ago but I was wondering if international transfers take longer to arrive because it hasn't made it yet.,Funds,Funds Transfer Info
Is there a way to order a new card while in China?,Card,Card Order
Can you make exchanges using the EUR?,Funds,Funds Exchange Info
Someone took my card without my permission.,Other,Scam
"I need to top up, but I have to use an international card. Is there a cost for that?",Funds,Top Up Info
Are there fees for receiving a SEPA transfer?,Funds,Funds Fees
Where can I find Mastercard ATMs?,Other,Find ATM
Is the PIN sent in another message?,Card,Card Activation
I see a reverted payment on my account. Why has this happened?,Funds,Funds Transfer Issues
Can I use the apple watch to make a top-up?,Funds,Top Up Info
i need you to freeze my account,Account,Account Suspend
How do I set my physical card PIN?,Account,Reset PIN
What is your opinion on the exchange rate?,Funds,Funds Exchange Info
Does the auto top-up have any limits?,Funds,Automatic Top Up
Thanks. Have a great day,Other,Small Talk
Canceled account,Account,Account Close
Why was there an extra charge because I used my card to pay?,Funds,Funds Fees Issues
How much to exchange currencies?,Funds,Funds Fees
Why hasn't the transaction I did to my friend arrived yet?,Funds,Funds Pending Issues
Is there a fee for exchanging currency?,Funds,Funds Fees
Is there a minimum age for having an account?,Account,Account Info
Can the card was sen to me be tracked?,Card,Card Delivery
I have used this account overseas recently. Has there been an increase in fees that I am unaware of?,Funds,Funds Fees
When will my payment go through?,Funds,Funds Pending Issues
What is the appropriate age for my child to be able to open an account?,Account,Account Info
during the next 8 minutes,Other,Unsupported Talk
I need to make several disposable cards per day.,Card,Card Order
Problem verifying my account,Account,Identity Verification
What is the extra fee that showed up on my card?,Funds,Funds Fees Issues
I don't live in the UK. Can I still get a card?,Card,Card Order
What currencies can I use?,Funds,Funds Fees
How do I get to the virtual cards?,Card,Card Order
Why isn't this accepting my identity?,Account,Identity Verification
Can I top up using my apple watch?,Funds,Top Up Info
how is it possible that my account has been frozen,Account,Account Issues
Tell me why my transfer is pending.,Funds,Funds Pending Issues
Asked for $100 but only got $20. Why would this happen?,Funds,Funds Transfer Issues
Are there any limits to were my card is accepted?,Card,Card Info
at 3 night,Other,Unsupported Talk
"I attempted to complete a topup, and I thought all was well, but now the money is gone again. Has there been a glitch?",Funds,Top Up Issues
Why did I get charged extra?,Funds,Funds Fees Issues
I already have a card and want to link it,Card,Card Activation
You are welcome and have a good weekend to you as well,Other,Small Talk
Which US cards have top up charges?,Funds,Top Up Info
i want to pay my house bill,Funds,Funds Transfer
Where is the top-up verification code sent?,Funds,Top Up Info
Need to schedule a call,Other,Bot to Human
I didn't get the correct amount of money from the ATM machine,Other,ATM Issues
I would like to change my name after marriage.,Account,Account Info Change
Would I be able to top up as much as I can?,Funds,Top Up Info
Can I track my card while it is in the process of delivery?,Card,Card Delivery
A direct debit payment that I didn't authorise shows up in my app.,Funds,Funds Wrong Debit
Transfers from the US how long will the wait be?,Funds,Funds Transfer
Are there any restrictions on the disposable cards?,Card,Card Info
I am afraid to give you all my identify details.,Account,Identity Verification
Live agent,Funds,Funds Pending Issues
Why am I having trouble withdrawing cash?,Card,ATM Card Issues
Why is my transfer still pending after all this time?,Funds,Funds Pending Issues
I can get my identification verified.,Account,Identity Verification
"Hello, I wanted to get some more information about ATM Withdraw Fee. I have been withdrawing money for years and notice this charge on my account. I always thought it was no fee since its you guys ATM company that I am withdrawing. Can you please explain?",Funds,Withdraw Issues
What is the timeframe for a transfer in Europe?,Funds,Funds Transfer
What should I do if I think someone stole my details and used my information to make some transactions?,Other,Scam
How long does it take for the transfer to go through?,Funds,Funds Transfer
How do I get a card if I live in the US?,Card,Card Order
How can I cancel a transfer I made,Funds,Funds Transfer Cancel
"Yes, my card is damaged",Card,Card Order
Says that my top-up is incomplete?,Funds,Top Up Issues
Do you do business in the EU?,Card,Card Info
The cash abroad exchange rate is applied wrong.,Funds,Funds Exchange Issues
i'm not satisfied with the services and no longer want to be a customer,Account,Account Close
Verify top-up card help?,Account,Identity Verification
i am leaving now,Other,Unsupported Talk
it already arrived at 5 10 p.m.,Other,Unsupported Talk
How can I tell if someone else is using my card?,Other,Scam
I was unable to transfer money from my account.,Funds,Funds Transfer Issues
i want my chase account blocked immediately,Account,Account Close
"That's right, everything has been broken since yesterday evening.",Card,Card Issues
How can I sign up for a virtual card?,Card,Card Order
"Someone has a copy of my card. I have my card with me, but someone just made a 500£ cash withdrawal. Help me.",Funds,Withdraw Issues
"I would like to track a card sent to me, how do I do that?",Card,Card Delivery
How can I fix this? The ATM gave me more cash than I'd asked for.,Other,ATM Issues
Can I use my account before the identity verification is complete?,Account,Identity Verification
Need to schedule a call back,Other,Small Talk
Can you please explain why my transfer failed?,Funds,Funds Pending Issues
"I'm locked out of my account as I can't remember my code, what do I do now?",Account,Reset PIN
"I got a new card, how do I link it?",Card,Card Activation
I tried withdrawing but my cash is not showing up?,Funds,Withdraw Issues
Oh.... Ok,Other,Small Talk
I ordered a virtual card but it hasn't come through yet,Card,Card Order
Should I order a new card before I freeze my original one?,Account,Account Issues
i think the charge for uber on my account is fraudulent,Other,Scam
My card payments have stopped.,Funds,Funds Transfer Issues
My new card came in. How do I activate?,Card,Card Activation
Help! I just realised someone has apparently withdrawn money using my card! It's from some odd remote town where I definitely haven't been. Please freeze it immediately!,Funds,Withdraw Issues
"Help me please, My Apple Pay American Express top up does not work.",Funds,Top Up Issues
I will do it later,Other,Unsupported Talk
How long does it take for cards to be delivered after ordering them?,Card,Card Delivery
Can I get support?,Other,Small Talk
It seems that something went wrong with my exchange. I changed dollars into UK pounds but have been charged entirely too much!,Funds,Funds Exchange Issues
send over 50 dollars between my shared and not shared accounts,Funds,Funds Transfer
Is there any limits I should know about if I'm going to use a disposable virtual card?,Card,Card Info
Where is my top-up verification code?,Funds,Top Up Info
how do i change my pin for number for my abc bank account,Account,Reset PIN
is this ai or a real person,Other,Bot to Human
I have a payment that shows twice,Funds,Funds Fees Issues
My card is about to expired what will happen?,Card,Card Order
My passcode is not being accepted,Account,Reset Account Password
Why did the ATM swallow my card?,Card,ATM Card Issues
I can't log into my account because I lost my password,Account,Reset Account Password
How can I order a card?,Card,Card Order
"I want to reactivate my card, I thought I had lost it but I found it.",Card,Card Activation
How can my new card be activated?,Card,Card Activation
My top-up never worked,Funds,Top Up Issues
Will you guys charge me for topping up by transfer?,Funds,Funds Fees
what is my current balance on my home equity line of credit,Funds,Funds Balance
There is a payment showing as pending and hasn't posted for a few days. When will it post?,Funds,Funds Pending Issues
How do I cancel a transfer?,Funds,Funds Transfer Cancel
Is there a problem with your system being down or something? I have already tried 5 times to issue a standard transfer but I'm getting nowhere.,Funds,Funds Pending Issues
how long do i need to waste my time until i can talk to an agent?,Other,Bot to Human
That is correct,Other,Small Talk
Is it possible for a transaction to be cancelled?,Funds,Funds Transfer Cancel
I did not receive all of my cash back,Funds,Withdraw Issues
"yes, i topped up my account two days ago",Funds,Top Up Info
Can I change my PIN on holiday?,Account,Reset PIN
Why would I be charged an extra fee while doing a transfer?,Funds,Funds Fees
I lost the code and can not get into the app. Help!,Account,Account Issues
What's a verification code?,Account,Identity Verification
"My phone was taken yesterday, is there something that I need to do?",Account,Account Suspend
I did not make a cash withdrawal that is on my statement,Funds,Withdraw Issues
"how long does it take to transfer money, my retailer is waiting",Other,Unsupported Talk
The app is showing mt withdrawals that aren't mine.,Funds,Withdraw Issues
What should I do if I think that someone might be using me card?,Card,Card Block
How long does it take for a money transfer to show up?,Funds,Funds Transfer Info
Is there an auto top up feature?,Funds,Automatic Top Up
"It is a current one, thank you",Other,Small Talk
I'm still waiting for a money transfer to show.,Funds,Funds Pending Issues
"Yes, I would like to ask something else",Other,Conversation Control
How much is it to send out additional cards?,Funds,Funds Fees
place a stop on my bank account,Account,Account Suspend
"help me , i forgot my pin number",Account,Reset PIN
A fee shouldn't apply to me if my card was stolen.,Other,Scam
"I don't want this account anymore, how do I delete it?",Account,Account Close
In which countries does your app work,Other,Unsupported Talk
Is there a reason for my top up to be cancelled?,Funds,Top Up Issues
Can apple pay handle top up exchanges?,Funds,Top Up Info
What is the fee to top-up my account,Funds,Funds Fees
There was an extra fee when I paid with the card.,Funds,Funds Fees
I may have entered the PIN wrong and the account is blocked. What do I have to do to get it unblocked.,Account,Account Restore
Exchange fee help?,Funds,Funds Fees
I thought crypto top up with something you offer. This is not working. The money has been deducted from my account. Can you find out what's going on?,Funds,Top Up Issues
Do you have info about the card on delivery?,Card,Card Info
Can I change my card PIN?,Account,Reset PIN
"There is a pending payment on my account, what does this mean?",Funds,Funds Transfer Info
I tried entering my pin several times incorrectly. Why isn't my pin working?,Account,Password Managing
"I can't remember my app code, can you reset it?",Account,Reset Account Password
How long do I have to wait for my transaction to be completed?,Funds,Funds Transfer Info
How long does it take for a payment to change from pending?,Funds,Funds Pending Issues
The app reverted my top up,Funds,Top Up Issues
The exchange rate is incorrect for my payment.,Funds,Funds Exchange Issues
Do top-up limits exist?,Funds,Top Up
From my phone,Other,Unsupported Talk
"There are a few transaction that I don't recognize, I think someone managed to get my card details and use it.",Funds,Funds Transfer Issues
How do I link a new card in the app?,Card,Card Activation
Manual customer service,Card,Card Order
I see a direct debit transaction in my history that I did not set up.,Funds,Funds Wrong Debit
How do I go about ordering another card?,Card,Card Issues
Where is the card I ordered 2 weeks ago?,Card,Card Issues
What is the pending payment on my card about?,Funds,Funds Pending Issues
why did my payment revert,Funds,Funds Transfer Issues
what were my last five transactions on my visa card,Funds,Funds Transaction History
Am I gonna be charged for sending out more cards?,Card,Card Order
Can you tell me what the exchange fee is?,Funds,Funds Fees
Yes for now,Other,Small Talk
i dont need anything else,Other,Small Talk
How can I change my name in my profile?,Account,Account Info Change
"I just saw the exchange rate you use, but it's so bad that I can't believe that it's the official interbank exchange rate! Is this truly the official interbank exchange rate?",Funds,Funds Exchange Issues
Why isn't the recipient seeing the transaction? I just sent the money.,Account,Account Restore
How much is it to buy another card? I was hoping to buy another one.,Card,Card Order
can you tell me how i change my pin number,Account,Reset PIN
"before i pay my capital one , what are the most recent transactions i 've made",Funds,Funds Transaction History
i do not need help right now,Other,Small Talk
Why has my top-up been returned to my account?,Funds,Top Up Issues
I don't know what pending transaction means.,Funds,Funds Transfer Info
"No, I need it tomorrow.",Other,Unsupported Talk
What are the steps to verify identity?,Account,Identity Verification
"Needed gas, been delayed for half an hour.Please fix it!",Other,Unsupported Talk
I don't have my passcode to access the app.,Account,Account Issues
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",Card,Card Activation
Need a new passcode.,Account,Reset Account Password
what is the most money i can top up?,Funds,Top Up Info
My credit card transaction was declined for a loan payment.  Can you tell me why?,Card,Card Issues
i need to know last months transactions,Funds,Funds Transaction History
There are some charges that I don't recognize. It happened days ago. Can I get these charges back? Should I cancel my card?,Funds,Funds Wrong Debit
Does the app allowing exchanges between USD and GBP,Funds,Funds Exchange Info
There is a debit paymet that I don't recognize.,Funds,Funds Wrong Debit
I need to exchange some foreign currency. What's the charge for doing that?,Funds,Funds Exchange Info
I sent money to a person and they haven't received the payment yet.,Funds,Funds Pending Issues
I need you to delete my account now.,Account,Account Close
Will this app allow me to exchange currencies?,Other,App Info
Do you know what your exchange rates are?,Funds,Funds Exchange Info
why am i unable to access my bank account,Card,Card Order
How high is the exchange fee?,Funds,Funds Exchange Info
"No, it wasn't possible to withdraw any money in Hong Kong using my old card.",Card,Card Issues
I believe my top up is still pending,Funds,Top Up Info
What can I do if my passcode won't work?,Account,Reset Account Password
How do I close my account?,Account,Account Close
Why is the exchange rate on my card payment different than I expected?,Funds,Funds Exchange Issues
Please help me with my card. It won't activate.,Card,Card Activation
Can you help me reset my passcode? I forgot it.,Account,Reset Account Password
Thanks for the help,Other,Small Talk
Is there a limit to a disposable virtual card?,Card,Card Info
My card is expiring so how fast can I get a new one and how much will it be?,Card,Card Order
I have a direct debit I didn't make,Funds,Funds Wrong Debit
What is the purpose for verifying my identity?,Account,Identity Verification
The ATM machine ate my card.,Card,ATM Card Issues
"Help me! When I was abroad, the exchange rate was wrong.",Funds,Funds Exchange Issues
"Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money.",Funds,Funds Pending Issues
"Great, much appreciated!",Other,Small Talk
I tried to make a payment with my card and it was declined. Why is it pending?,Funds,Funds Pending Issues
Show me where I can see the PIN?,Account,Account Info
my checking account needs a new pin number,Card,Card Block
Can I withdraw money in my hometown currency while on holiday without any additional fees?,Funds,Funds Fees
To receive money are there charges?,Funds,Funds Transfer Info
How do I get a refund for an unauthorized direct debit payment?,Funds,Funds Wrong Debit
There is payment showing that I didn't do.,Funds,Funds Wrong Debit
"I'd like to make a SEPA transfer to my account, but will I be charged?",Funds,Funds Transfer Info
"I desperately need to top-up my card, so why is it being declined? Can you solve this for me? I need to use my card immediately!",Funds,Top Up Issues
Why can't I complete the transfer?,Funds,Funds Transfer Issues
great i want 11:15 night,Other,Unsupported Talk
What is the most I can top-up?,Funds,Top Up Info
How long does it take to receive my card?,Card,Card Delivery
What is the maximum top up?,Funds,Top Up Info
i want to pay my amazon credit card but i need to know the last few transactions,Funds,Funds Transaction History
"I need some money transferred ASAP, how long does the process take?",Other,App Info
My card activation is failing.,Other,Unsupported Talk
Are u a virtual assistant or live expert,Other,Bot to Human
How often can I top up?,Funds,Top Up Info
is there a way to do top up with apple pay,Funds,Top Up Info
The wrong exchange rate was used for my cash withdrawal,Funds,Funds Exchange Issues
Why am I being a charged for using my card?,Funds,Funds Fees
Could I chose the date to have it delivered?,Other,Unsupported Talk
bring up all purchases from target,Funds,Funds Transaction History
Is my account able to be topped up by my friends?,Funds,Top Up Info
Please help me. My card is missing.,Card,Card Block
Don't know how to do that.,Other,Small Talk
please switch s checking to mortage,Other,Unsupported Talk
How much is the exchange fee?,Funds,Funds Exchange Info
"I've tried to send money to my friends and I keep getting rejected. Can you please tell me why, I don't understand.",Funds,Funds Transfer Issues
Is this card accepted by ATMs?,Card,Card Info
view my transactions for the last week,Funds,Funds Transaction History
Do you have an auto-top function and how do I use it if so?,Funds,Automatic Top Up
show me the transaction on my car,Funds,Funds Transaction History
I want to stop my account,Account,Account Close
"Is there something wrong with my card payment? It's been pending a really, really long time.",Funds,Funds Pending Issues
Thank you I hope you can I'll pay the whole amount of 201,Other,Unsupported Talk
I think the exchange rate for the cash I withdrew wasn't correct.,Funds,Funds Exchange Issues
Am I able to do a SWIFT transfer?,Funds,Funds Transfer
I am not satisfied with your company.  Close my account.,Account,Account Close
"Do any of your machines provide cash from my home country? I don't have any money on me and I'm on holiday so I'm concerned. Also, will I be charged anything to do this?",Other,Find ATM
I just found a payment from a while back in my account that I didn't make. Can I still dispute it even though it was a couple of months ago?,Funds,Funds Wrong Debit
How limited is a virtual card?,Card,Card Info
Please tell me if I'm going to be charged for sending out more cards?,Card,Card Order
How long is the wait for a money transfer to show up?,Funds,Withdraw Issues
When will I get my money? It's been too long.,Funds,Funds Pending Issues
"I was out today looking forward to paying with my brand new card, turns out the payment just kept getting declined. This is pretty sad, what's going on?",Card,Card Issues
i can't make it on the next 7 hours,Funds,Funds Exchange Info
what 's my savings balance at chase,Funds,Funds Balance
How long does a payment usually show as pending? Is it normal that mine is still pending?,Funds,Funds Pending Issues
I have one other credit card from the US. Do you take it?,Card,Card Info
what is the matter?,Other,Unsupported Talk
"Hello, I made a payment with my card and it's not working. It's been a while and still says its pending. Can you tell when this will go through?",Funds,Funds Pending Issues
There are two of the same charges on my account.,Funds,Funds Fees Issues
When can I expect the transfer to arrive in my account?,Funds,Funds Transfer
Is there a reason my payments are pending?,Funds,Funds Pending Issues
Can I use my account even though the identity verification has not passed yet?,Account,Account Info
"For you, how long do transfers normally take from a UK account? I completed one just now but nothing appears. I just need to be sure everything is okay.",Funds,Funds Transfer Info
"I took out money, and didn't get all of it.",Other,Small Talk
I have a payment that I didn't make.,Funds,Funds Transfer Issues
Can you tell me the restrictions for the disposable cards?,Card,Card Info
Can I possibly change my currency to another?,Funds,Funds Exchange Info
Why is the transaction to my friend still pending?,Funds,Funds Pending Issues
i need you to send 500 dollars from my high tier account to my regular checking account,Funds,Funds Transfer
"Read it for me, please",Card,Card Order
Why did you charge a fee when I withdrew from an ATM?,Funds,Withdraw Issues
"Hi, I am facing issue with my card payment while shopping online as payment is getting reverted. I am struggling with this issue around two weeks. Please advise.",Funds,Funds Pending Issues
How long am I allowed to borrow for,Funds,Funds Transfer Issues
Do I need my phone to use the app?,Other,App Info
stop payments from my bank,Funds,Funds Transfer Cancel
Can I stop a transaction?,Other,Unsupported Talk
"went somewhere else, need to change details",Account,Account Info Change
How do I go forth on holding money in multiple currencies?,Funds,Funds Transfer Issues
My accounts been charged a payment for something I didn't make.,Funds,Funds Wrong Debit
I think the exchange rate was incorrect.,Funds,Funds Exchange Issues
What ATM locations are near me?,Other,Find ATM
What do i do if the exchange rate was wrong for the item i bought overseas?,Funds,Funds Exchange Issues
thats not it,Other,Small Talk
"My card is expiring, how do I get a new one?",Card,Card Order
Why was a fee added to my bill when I used my card?,Funds,Funds Fees
"i am express delivering my card to the us, how long will that take",Card,Card Delivery
How many days does it take for a transfer to go through?,Card,Card Info
What are the disposable cards restrictions?,Card,Card Info
What are the requirements to verify my identity?,Account,Identity Verification
Why is my cash request and the amount I received different?,Funds,Funds Fees Issues
I can't see a top-up top-up verification code.,Funds,Top Up Info
"I tried to get money out of an ATM in Notting Hill earlier, but it didn't work. Is my card actually working? It's the first time I tried using it",Card,ATM Card Issues
Why was I charged a random fee for a transfer I made?,Funds,Funds Fees
What form of identification is accepted?,Account,Identity Verification
Should my top up still be pending?,Funds,Top Up Info
Why didn't my transfer work?,Funds,Funds Transfer Issues
Are money transfers free?,Funds,Funds Fees
i think i 've been the victim of fraud,Other,Scam
I was charged multiple times at the same location at the same time,Funds,Funds Fees Issues
How much is the charge to top up via credit card?,Funds,Funds Transfer Issues
Talk with a human and not a robot,Other,Bot to Human
Cancel a transaction,Account,Reset Account Password
I have a payment that hasn't went through yet.,Funds,Funds Pending Issues
what are the exchange rates for foreign currency ATMs,Funds,Funds Exchange Info
Has my top-up gone through?,Funds,Top Up Info
"How do I close my account, since I'm dissatisfied?",Account,Account Close
Transaction showing up many times.,Card,Card Info
Do I get a discount if I exchange currencies a lot?,Funds,Funds Exchange Info
"I was charged a fee when withdrawing cash, can you explain why?",Funds,Funds Fees
I couldnt transfer money from my account.,Funds,Funds Transfer
pay my internet bill with my discover account,Funds,Funds Transfer
hello my name is jerry,Other,Small Talk
My card payment failed.,Funds,Funds Transfer Issues
How can I know where my card will be accepted?,Card,Card Issues
I was trying to top-up and my credit card was declined. Can you tell me why?,Funds,Top Up Issues
"Ive been trying to use my card for two weeks now to purchase somethings online but nothing is going through. It keeps returning my payment to my account. There shouldn't be anything wrong with my account, is it the card?",Card,Card Order
How do I perform identity checks?,Account,Identity Verification
I am unable to access my app due to forgetting my passcode.,Account,Reset Account Password
Do you have any age limit?,Other,Unsupported Talk
Can you look into why my most recent top-up is showing as pending? I thought it was supposed to be instantaneous.,Funds,Funds Pending Issues
No. Thank you.,Other,Small Talk
My daughter needs to open account.,Account,Account Creation
I didn't get a PIN yet. What gives?,Funds,Funds Transfer Issues
When will my top-up go through?,Funds,Top Up Issues
"I made a payment a while ago and it is still showing as ""pending"" in the account. How long will this payment take to complete?",Funds,Funds Pending Issues
i would love it if you could put a stop on my bank account,Account,Account Suspend
Where is my card?,Card,Card Issues
"Transfers can take up to one day to process before departing for the beneficiary accounts. Please confirm that you've entered your account details correctly. SEPA transfers can take up to two working days, while SWIFT transfers can take up to five working days.",Funds,Funds Transfer Issues
Where can I find my card PIN?,Other,App Info
Why is my identity not verified?,Account,Identity Verification
How long does it take for money to transfer? I sent some to a friend and it hasn't gone through yet.,Funds,Funds Transfer Issues
